id,topic,difficulty,question,choice_a,choice_b,choice_c,choice_d,correct,explanation
119,Spring Framework,expert,"What JWT algorithm does 20NINE use, and for the KCB bank integration are you signing or verifying?",RSA asymmetric for JWT; 20NINE signs KCB callbacks with its private key,HMAC-256 for JWT; 20NINE signs outbound KCB requests with its own RSA private key,"HMAC-256 (symmetric, shared secret) for JWT; for KCB, outbound uses OAuth2 (key/secret -> Bearer) and inbound callbacks are verified with KCB's RSA public key (SHA256withRSA)  -  20NINE verifies, it does not sign",No JWT is used; all auth is via KCB OAuth2,C,"JWT uses HMAC-256 (symmetric): the auth service signs with a shared secret and the gateway verifies with the same secret  -  simple and fast, but the shared secret means anyone who can verify can also sign (RSA asymmetric would be cleaner for a distributed/bank context). For KCB there are two directions with different security: outbound (20NINE -> KCB) uses OAuth2, exchanging consumerKey/secret for a Bearer token; inbound (KCB -> 20NINE callback) is verified with KCB's RSA public key (SHA256withRSA). So 20NINE holds KCB's public key to verify their signature  -  it does not sign its own requests with a private key. Across an org boundary, asymmetric signing means only KCB can sign (private key) and 20NINE can only verify (public key), which proves origin (non-repudiation)."
120,Microservices,hard,"Which saga style does 20NINE's money transfer use, and what is the consequence?",Orchestration  -  a central Transfer Orchestrator commands each leg and tracks completion,A synchronous gRPC call chain that blocks until both legs finish,Two-phase commit across payment and saldo for atomicity,"Choreography  -  the payment service publishes events and each service reacts and emits the next, with no central coordinator, so no single service has the end-to-end view",D,"20NINE uses choreography: the payment service publishes two independent INIT_TRANSACTION messages (debit + credit) to Kafka and walks away; each stage is a separate consumer (INIT -> PROCESS -> CONFIRM) that reacts and re-emits, and compensation is event-driven too (a refund consumer reacts to failure). There is no central coordinator, so the flow is decoupled but harder to track end-to-end  -  which is exactly why 20NINE leans on bank reconciliation as the backstop. Rebuilding with orchestration would add a Transfer Orchestrator owning the transfer as a state machine (single source of truth, immediate compensation) at the cost of a central component and more coupling."
121,Microservices,hard,How does the bookkeeping service differ from the monorepo services in how it trusts requests?,"It is a separate repository (com.mpesa) that re-validates tokens itself by calling the auth service at /authz/verify-token, instead of trusting that traffic arrived via the gateway",It lives in the monorepo and trusts the gateway like every other service,"It validates JWTs locally with the shared HMAC secret, unlike the gateway",It requires mTLS client certificates from callers,A,"Most 20NINE internal services trust that traffic arrived through the gateway and do not re-validate the JWT. The bookkeeping service is the exception: it lives in its own repository (package com.mpesa, older Spring Boot 2.6.11 baseline) and re-validates tokens by calling the auth service over HTTP at /authz/verify-token (AppFilter -> AuthService). It receives transfer transactions from saldo (via a WebClient POST to /bookkeeping/transactions) to keep the user's transaction ledger."
122,Microservices,expert,"In 20NINE, what is the true correctness guarantee for money movement?",The Kafka saga alone guarantees both legs commit atomically,"An out-of-band reconciliation job against the KCB bank statement, which posts corrective transactions for any missingBalance  -  the write path is best-effort per leg",The optimistic lock on the balance guarantees cross-leg correctness,"A distributed transaction spanning payment, saldo, and the bank",B,"Correctness is spread across four mechanisms  -  per-wallet optimistic lock, a Kafka saga per leg, compensating refunds on failure, and bank reconciliation per account  -  but the real backstop is reconciliation against KCB. The write path is best-effort per leg (no shared transaction, no correlation id, no outbox), so legs can diverge on failure; the reconciliation job compares 20NINE's records to the bank statement and posts corrective transactions for any missingBalance. The presence of a missingBalance field shows drift is expected and repaired after the fact."
123,Microservices,hard,"In 20NINE, how is the PostgreSQL mirror kept in sync with DynamoDB, and what happens if that sync fails?","Both are written in one distributed transaction, so they can never diverge",SQL is written synchronously before the DynamoDB commit,"SQL is written after the DynamoDB commit, asynchronously via transactional event listeners (REQUIRES_NEW, some @Async); if a listener fails the stores diverge and reconciliation is the backstop",A nightly batch job overwrites PostgreSQL from DynamoDB,C,"DynamoDB is the operational source of truth; PostgreSQL/JPA is a synchronized mirror written after the DynamoDB commit, asynchronously, via OLAP transactional event listeners (Spring @TransactionalEventListener, REQUIRES_NEW, some @Async in repository/olap). That makes the two stores only eventually consistent  -  a failed listener can leave them diverged, which is another reason the bank reconciliation job exists."
124,Spring Framework,hard,How does 20NINE reduce auth latency and database load on the hottest path (token validation)?,By validating tokens against the database on every request,By issuing long-lived tokens that never need re-checking,By disabling token validation for internal services,"By caching tokens in Redis (a @RedisHash with access/refresh token and expiry) so validation is an in-memory lookup, with TTL handling expiry and a Redis blacklist for revocation",D,"The auth service stores tokens in Redis (a @RedisHash holding access token, refresh token, and expiry), so validation becomes an in-memory Redis lookup instead of a DB round-trip, and Redis TTL handles expiry automatically. Revocation is also Redis-backed: the gateway checks a blacklist of blocked user ids during JWT verification. The bookkeeping service consumes this by delegating validation to the auth service (/authz/verify-token), so the expensive part stays cached rather than hitting a DB per request. If Redis is down, fall back to DB or force re-auth  -  it must never let an invalid token through."
125,Microservices,expert,Which set of improvements best matches what 20NINE would add if the money path were rebuilt?,"Add a transactional outbox and correlation ids across legs, mTLS between services, AWS Secrets Manager, re-enable disabled retry timers, and asymmetric JWT signing",Remove reconciliation and rely solely on the saga,Switch DynamoDB for a single SQL database with multi-row ACID,Replace Kafka with synchronous gRPC for all money movement,A,"The named weaknesses drive the rebuild list: no transactional outbox (a DB write can succeed while the follow-up Kafka publish is lost) and no correlation ids linking the legs, plaintext gRPC with no mTLS, committed dev/staging secret fallbacks with no Secrets Manager/SSM, commented-out retry timers, and symmetric HMAC JWT signing. Fixes: transactional outbox + correlation ids, mTLS (ideally via a service mesh), AWS Secrets Manager, re-enabled retry timers, and asymmetric (RSA) JWT signing."
126,Performance,hard,What does a memory leak actually mean in a garbage-collected language like Java?,"Objects that are no longer needed but remain reachable from a GC root, so the collector cannot reclaim them",The JVM forgetting to call free() on allocated memory,Any object that survives more than one GC cycle,Running out of stack space during deep recursion,A,"Java has no manual free(), so a leak is not unreleased memory in the C sense. It is objects you no longer need that are still reachable from a GC root (static fields, thread locals, live collections), so GC keeps them alive. The heap grows over time until OutOfMemoryError."
127,Performance,medium,Which heap usage pattern most strongly suggests a memory leak?,Heap drops to near zero after every garbage collection,Old-generation usage keeps climbing after each full GC and reclaims less each time,Young generation fills and clears rapidly,Heap stays flat under constant load,B,"A healthy heap returns to a stable baseline after full GC. A leak shows a rising sawtooth: the post-GC floor keeps climbing because retained objects accumulate, full GCs get more frequent, and each reclaims less  -  until OutOfMemoryError."
128,Performance,hard,What is the most effective workflow to find the root cause of a Java heap leak?,Add more logging around every allocation,Increase -Xmx until the error stops,Take a heap dump (jmap or HeapDumpOnOutOfMemoryError) and analyze it in Eclipse MAT using the dominator tree and path-to-GC-root,Restart the service on a schedule to clear memory,C,"Capture a heap dump with jmap -dump:live or -XX:+HeapDumpOnOutOfMemoryError, then open it in Eclipse MAT. The dominator tree shows which objects retain the most memory and the path-to-GC-root reveals exactly what reference is holding them  -  that reference is the leak."
129,Performance,medium,An in-memory cache backed by a static HashMap keeps growing until OutOfMemoryError. What is the correct fix?,Make the map volatile so the GC can collect it,Bound the cache with a max size and TTL eviction (e.g. Caffeine/Guava) instead of an unbounded static map,Call System.gc() periodically to force cleanup,Move the map from a static field to an instance field,B,"A static, unbounded map lives for the whole app lifetime and retains every entry, so it grows without limit. The fix is an eviction policy  -  a real cache library like Caffeine or Guava with maximumSize and expireAfterWrite/TTL  -  so old entries are removed automatically."
130,Performance,medium,What is the general pattern for resolving a memory leak once you have found the retaining reference?,Increase the heap size so the leak takes longer to matter,Break the reference when the object is no longer needed (remove/close/clear/deregister) and bound anything that grows with size limits and TTL,Switch to a different garbage collector,Wrap all objects in try-with-resources regardless of type,B,"The fix is always to stop retaining what you no longer need: remove() the ThreadLocal, close() the resource, clear() or evict the collection, deregister the listener  -  and put hard bounds (max size + TTL) on any cache or collection that can grow. Raising -Xmx only delays the OOM, it does not fix the leak."
131,Microservices,hard,"In 20NINE, two wallet balance updates arrive at the same time for the same user. What goes wrong and how is it fixed?",A deadlock  -  both transactions wait for each other's lock,"A lost update  -  both read the same starting balance, each applies its delta, and the second write overwrites the first; fixed with optimistic locking (DynamoDB version attribute + conditional write)",A dirty read  -  one transaction reads uncommitted data from the other,Nothing goes wrong  -  Kafka guarantees ordered delivery per partition,B,"With a mutable read-modify-write balance, two concurrent reads both see the same starting value. Each applies its delta and writes back, so the second write silently overwrites the first  -  one update is lost. The fix is optimistic locking: a version attribute on the balance record and a DynamoDB conditional write that only succeeds if the version still matches what was read. A stale write fails with ConditionalCheckFailedException; the loser retries against the fresh balance instead of being silently dropped."
132,Microservices,hard,In 20NINE the balance update method is marked synchronized. Why does that not prevent the lost-update race condition?,synchronized is deprecated in Java 17,"synchronized only works on static methods, not instance methods","synchronized locks one JVM instance; with multiple Kubernetes pods, two pods can race on the same wallet  -  the guard must live at the database, not in process",synchronized prevents deadlocks but not race conditions,C,"synchronized protects a single JVM  -  it locks within one process. The service runs as multiple pods on Kubernetes, so two requests for the same wallet can hit two different pods simultaneously. Pod A's lock is invisible to Pod B, so they still race and the lost update still happens. The concurrency guard must live where the shared state is: the database. In 20NINE that is the DynamoDB version-based conditional write. A distributed Redis lock is the alternative if a single-writer-per-key constraint is needed, but optimistic locking is cheaper when real collisions are rare."
133,Microservices,medium,"Why can a Kafka consumer in 20NINE receive the same message more than once, and how is the balance update protected against it?",Kafka guarantees exactly-once by default so duplicates cannot happen,At-least-once delivery means a message can be redelivered on rebalance or retry; the confirm step is made idempotent by checking whether the transaction is already in a final state (SUCCESS/FAILED) and returning early if so,The consumer deduplicates using the Kafka offset as a unique key,Duplicate messages are filtered at the gateway before reaching the service,B,"Kafka's default guarantee is at-least-once: the consumer processes the message then commits the offset. If the consumer crashes before committing, or a rebalance occurs, the broker redelivers the message. Without idempotency the confirm step would re-apply the balance delta and double-charge the user. The fix is to check the transaction's current status before applying  -  if it is already SUCCESS or FAILED the handler returns early, making any redelivery a safe no-op. The transaction id is the natural idempotency key."
134,Microservices,expert,Why does Kafka's exactly-once delivery NOT solve the duplicate-apply problem when the consumer writes to DynamoDB?,"Exactly-once is only available on Kafka Streams, not plain consumers","Exactly-once wraps the Kafka consume and offset commit in a transaction, but that transaction boundary cannot include an external DynamoDB write  -  a DynamoDB update cannot be rolled back by a Kafka transaction, so the guarantee breaks at the external system",Exactly-once requires a separate deduplication table that 20NINE did not implement,"Exactly-once guarantees are only for producers, not consumers",B,"Kafka's exactly-once (transactional producers + consumers) makes the read-process-commit atomic within Kafka itself. But the transaction cannot cross the boundary into an external system like DynamoDB. If the service writes to DynamoDB and then the Kafka commit fails, the DynamoDB write already happened and cannot be rolled back by Kafka. So the duplicate risk resurfaces at the external write. The correct solution for Kafka-to-external-DB exactly-once semantics is the transactional outbox pattern: write to the DB and an outbox table in one local transaction, then publish from the outbox  -  closing the crash gap without relying on Kafka transactions."
135,Microservices,expert,"Where does 20NINE sit on the CAP theorem, and does the answer differ between the wallet balance and the overall system?",Fully CP everywhere  -  availability is always sacrificed for consistency,Fully AP everywhere  -  consistency is always eventual,"CP for the wallet balance (fails the write rather than risk corrupting money), AP for the overall system (eventual consistency across legs and stores, healed by reconciliation)",CA  -  partition tolerance is not needed inside a single Kubernetes cluster,C,"Partition tolerance is non-negotiable in a distributed system, so the real choice is CP vs AP. For the wallet balance, 20NINE is CP: if the conditional write cannot confirm the version, the transaction fails rather than guess  -  consistency is preferred over availability for that operation. For the broader system (debit and credit legs, DynamoDB-to-PostgreSQL sync), 20NINE is AP: the system stays available and accepts eventual consistency, with bank reconciliation healing drift after the fact. Different parts of the same system make different CAP tradeoffs."
136,Microservices,hard,"In 20NINE, why does the DynamoDB Transaction table have GSIs, and what specific query problem do they solve?",GSIs allow the table to be shared across multiple AWS accounts,Without GSIs every query would require a full table Scan; GSIs keyed on userId + createdDate and userId + updatedDate let the service fetch a user's transactions ordered by date in a single efficient query,GSIs are required for DynamoDB encryption at rest,GSIs replace the need for a sort key on the primary index,B,"DynamoDB goes straight to a partition via the partition key, but can only sort within that partition on the sort key. Queries like 'all transactions for this user ordered by date' or 'recently updated transactions for this user' cannot be served by the primary key alone without a Scan. GSIs on (userId, createdDate) and (userId, updatedDate) give the service efficient, ordered, user-scoped access patterns without scanning the whole table. The tradeoff: GSIs must be defined upfront because DynamoDB requires you to know your access patterns before modeling  -  you cannot add an ad-hoc SQL query later."
137,Microservices,hard,"In 20NINE, how is a push notification delivered to an Android vs iOS device via AWS SNS?",SNS publishes directly to a device token without any registration step,"SNS requires registering the device token as a platform endpoint (FCM ARN for Android, APNS ARN for iOS) via createPlatformEndpoint first; SNS returns an endpoint ARN; the message is then published to that endpoint ARN using messageStructure: json with platform-specific payloads",SNS sends an SMS fallback when the app is not installed,The gateway calls the device directly over gRPC,B,"SNS does not publish directly to a raw device token. The flow is: (1) register the device token with the platform application ARN  -  FCM for Android, APNS for iOS  -  via createPlatformEndpoint, which returns an endpoint ARN for that device; (2) publish the message to the endpoint ARN using messageStructure: json so the payload is formatted per platform (GCM JSON format for Android, APNS JSON format for iOS). In 20NINE, notifications are sent asynchronously  -  the service publishes to a Kafka topic and the notification service consumes it  -  so a slow or failed SNS call cannot delay or fail the original transaction."
138,Microservices,medium,"In 20NINE, why are push notifications sent asynchronously via Kafka rather than synchronously in the same request?",SNS requires asynchronous calls due to an AWS API limitation,A notification is a side effect  -  it must not be able to slow down or fail the main transaction; publishing to Kafka decouples the notification from the business operation so SNS latency or downtime has no impact on the core flow,Kafka is faster than a direct SNS call,Synchronous SNS calls are not supported by Spring Boot,B,"A notification is a side effect of a business event (order placed, payment confirmed), not part of the transaction itself. If SNS is slow or temporarily unavailable, the user's money movement should be completely unaffected. Publishing to a Kafka topic decouples the notification: the business operation completes and commits, then the notification service consumes the event independently. This also gives natural retry semantics  -  if the notification fails, Kafka can redeliver without replaying the business logic."
139,Microservices,expert,20NINE does not use event sourcing for the wallet. What are the concrete disadvantages of the current mutable-state approach?,There are no disadvantages  -  mutable state is always preferable for money,"No atomic paired debit/credit (legs can diverge silently), no transactional outbox (a DB write can succeed while the Kafka publish is lost), partial audit trail (balance is not provably the sum of its history), and correctness depends on an out-of-band reconciliation job rather than the write path",Mutable state prevents the use of DynamoDB,The optimistic lock makes mutable state equivalent to event sourcing,B,"The design spreads correctness across four mechanisms  -  optimistic lock, Kafka saga, compensating refunds, bank reconciliation  -  but each has a gap. The two legs have no shared transaction or correlation id, so a debit-ok/credit-fail divergence is only caught by reconciliation after the fact. There is no transactional outbox, so a DB write can succeed while the follow-up Kafka publish is lost, silently dropping a leg. The balance is a mutable number, so it is not provably the sum of its event history  -  the log and event tables can drift from the stored balance. Known fragile spots include commented-out retry timers and unimplemented duplicate handling."
140,Microservices,expert,"If 20NINE rebuilt the money path with a transactional outbox, what problem does it solve and how does it work?",It prevents duplicate Kafka messages by filtering at the broker,"A DB write can succeed while the follow-up Kafka publish crashes, silently dropping a leg; the outbox fixes this by writing the event to an outbox table in the same local DB transaction as the business write  -  the two commit or roll back together  -  then a separate publisher (polling job or CDC via Debezium) sends the outbox rows to Kafka, closing the crash gap",It replaces DynamoDB with a SQL database for atomic multi-row writes,It makes Kafka delivery exactly-once without requiring idempotent consumers,B,"Without an outbox, the service writes to DynamoDB and then publishes to Kafka as two separate steps. If the process crashes between them, the DB write persisted but the Kafka message was never sent  -  the leg is silently lost. The transactional outbox pattern closes this gap: in the same local transaction as the business write, insert the intended event into an outbox table. They commit atomically. A separate relay process reads unpublished outbox rows and sends them to Kafka  -  either a polling loop or CDC (Debezium tailing the DB transaction log). Publishing is still at-least-once, so consumers must remain idempotent, but the crash-between-write-and-publish window is eliminated."
141,Spring Framework,medium,"What is the difference between @Component, @Service, and @Repository in Spring? Are they functionally different?",All three behave differently at runtime and cannot be used interchangeably,"@Service and @Component are functionally identical (both register a bean via component scanning); @Repository additionally enables automatic exception translation via PersistenceExceptionTranslationPostProcessor, converting DB-specific exceptions into Spring's DataAccessException hierarchy",@Repository creates a JPA repository automatically; @Service manages transactions; @Component does neither,@Service enables AOP proxying while @Component and @Repository do not,B,"All three are stereotype annotations that register the class as a Spring bean through component scanning. @Service and @Component are functionally identical  -  the difference is purely semantic (@Service signals business logic, @Component is the generic catch-all). @Repository is the exception: it activates PersistenceExceptionTranslationPostProcessor, which wraps the bean so persistence-specific exceptions (SQLException, JPA PersistenceException) are translated into Spring's unified DataAccessException hierarchy. This gives the service layer one consistent exception type regardless of the underlying DB technology."
142,Spring Framework,hard,"Besides the rollback-on-checked-exceptions pitfall, when does @Transactional silently do nothing even though it appears correct?",When applied to a private method,When the bean has no interface,"When a bean calls its own @Transactional method via 'this' (self-invocation), bypassing the Spring proxy so no transaction is started",When used with constructor injection,C,"@Transactional works through a Spring proxy  -  external calls go through the proxy which starts/commits the transaction. But if a method calls another @Transactional method on the same bean using this.method(), it bypasses the proxy entirely and the annotation has no effect  -  no transaction is started. Combined with the checked-exception pitfall (default rollback only on RuntimeException/Error), these are the two most common @Transactional traps. Fixes for self-invocation: inject self as a dependency, use AopContext.currentProxy(), or extract the method into a separate bean."
143,Spring Framework,medium,"What is the difference between == and .equals() in Java, and what must you also override alongside equals() and why?",Both == and .equals() always check reference identity,"The == operator checks reference identity (same object in memory); .equals() checks logical equality (same content, if overridden); you must also override hashCode() because equal objects must have the same hash code - HashMap/HashSet use hashCode() to pick the bucket first then equals() inside it, so a mismatch causes duplicates in sets and null returns from maps",You only need to override equals() and hashCode() is optional,The == operator calls .equals() internally for non-primitive types,B,"The == operator checks whether two variables point to the same object in memory. The .equals() method checks logical equality - but only if the class overrides it; otherwise it falls back to reference identity. The hashCode contract states: if a.equals(b) is true then a.hashCode() == b.hashCode() must also be true. HashMap and HashSet use hashCode() to locate the bucket, then .equals() to find the matching entry within it. If two logically equal objects produce different hash codes they land in different buckets - HashSet stores both as duplicates and HashMap.get() returns null even though the key is present. This is why equals() and hashCode() must always be overridden together."
144,Spring Framework,hard,"Walk through how HashMap put and get work internally, including what happens on collision and when the bucket structure changes.",HashMap uses a sorted tree for all buckets from the start,"put() calls hashCode() on the key, applies a secondary spread and mods by array length to pick a bucket, then walks that bucket comparing with equals() - updating the value if found or appending a new entry; get() follows the same path; collisions are chained as a linked list, converted to a red-black tree when a bucket reaches 8 entries (table size >= 64); the map resizes (doubles and rehashes) when entries exceed capacity times load factor (default 0.75)",HashMap stores entries in insertion order using a doubly-linked list,put() always appends to a global list and get() does a linear scan,B,"put(key, value): (1) call key.hashCode(), apply HashMap's internal spread function, mod by array length to get the bucket index; (2) walk the bucket - if an existing key matches via equals(), update its value; otherwise append a new Entry. get(key) follows the same steps: hash the key, find the bucket, walk with equals(). Collisions (multiple keys in one bucket) are stored as a linked list, giving O(n) worst-case lookup. When a single bucket accumulates 8 or more entries and the table has at least 64 slots, the linked list is converted to a balanced red-black tree, reducing worst-case lookup to O(log n). When total entries exceed capacity times 0.75 (the load factor), the backing array doubles in size and all entries are rehashed into the new layout to keep individual buckets short."
